,forecast,lower_95,upper_95
2022-01-01,110.46060168635981,106.88952600930541,114.0316773634142
2022-02-01,115.89255494145927,112.28562342411117,119.49948645880737
2022-03-01,119.30551499939702,115.69716700713798,122.91386299165606
2022-04-01,121.1752594221713,117.5667746800817,124.78374416426088
2022-05-01,119.67850890271794,116.07000022241185,123.28701758302402
2022-06-01,116.17975131145074,112.57123238044676,119.78827024245473
2022-07-01,112.13104209551825,108.52251465443322,115.73956953660328
2022-08-01,105.80509639835547,102.19656058188802,109.41363221482293
2022-09-01,102.57267318922348,98.96412831980197,106.18121805864499
2022-10-01,101.15990752970967,97.55134815445142,104.76846690496792
2022-11-01,102.78855512000887,99.17994008820797,106.39717015180976
2022-12-01,106.78044492374357,103.17152281932307,110.38936702816407
2023-01-01,110.90784619324445,107.29236161796013,114.52333076852878
2023-02-01,116.52387947697419,112.90788680160793,120.13987215234044
2023-03-01,119.9610941319913,116.3450368047067,123.57715145927591
2023-04-01,121.83446365555471,118.21839021765958,125.45053709344985
2023-05-01,120.33867548095076,116.72259205285083,123.95475890905068
2023-06-01,116.84053653883164,113.2244439064745,120.45662917118878
2023-07-01,112.79240160946284,109.17629986149126,116.40850335743443
2023-08-01,106.46702447275521,102.85091352160082,110.08313542390961
2023-09-01,103.23516908497987,99.619048152467,106.85129001749274
2023-10-01,101.82297115142346,98.20683421444967,105.43910808839725
2023-11-01,103.45218645536637,99.83598797030432,107.06838494042843
2023-12-01,107.4446439711554,103.8280983549593,111.0611895873515
